program,address,claimed_name,owner,confidence,name_origin,authority,aliases,source_path,source_line
wiz8,00415910,inflateReset,zlib-1.0.4,high,original-source,source-backed,,,
wiz8,00415960,inflateEnd,zlib-1.0.4,high,original-source,source-backed,,,
wiz8,004159c0,inflateInit2_,zlib-1.0.4,high,original-source,source-backed,,,
wiz8,00415ad0,inflateInit_,zlib-1.0.4,high,original-source,source-backed,,,
wiz8,00415af0,inflate,zlib-1.0.4,high,original-source,source-backed,,,
wiz8,00415f10,flush_pending,zlib-1.0.4,high,original-source,source-backed,,,
wiz8,00415f60,deflate_stored,zlib-1.0.4,high,original-source,source-backed,,,
wiz8,00416070,fill_window,zlib-1.0.4,high,original-source,source-backed,,,
wiz8,00416180,read_buf,zlib-1.0.4,high,original-source,source-backed,,,
wiz8,004161f0,deflate_fast,zlib-1.0.4,high,original-source,source-backed,,,
wiz8,00416450,longest_match,zlib-1.0.4,high,original-source,source-backed,,,
wiz8,004165c0,deflate_slow,zlib-1.0.4,high,original-source,source-backed,,,
wiz8,004168b0,inflate_blocks_reset,zlib-1.0.4,high,original-source,source-backed,,,
wiz8,00416940,inflate_blocks_new,zlib-1.0.4,high,original-source,source-backed,,,
wiz8,004169b0,inflate_blocks,zlib-1.0.4,high,original-source,source-backed,,,
