program,address,section,kind,slot_count,boundary,vptr_write_count,store_displacements,pure_virtual_slots,adjustor_thunk_slots,import_slots,allocation_sizes
wiz8--demo--wiz8--8acda50afe39,005f95b0,.rdata,vftable,1,code-reference-boundary,5,0x0 0x60,0,0,0,0x0
wiz8--demo--wiz8--8acda50afe39,005f95b4,.rdata,vftable,18,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f95fc,.rdata,vftable,20,code-reference-boundary,2,0x0,0,0,0,0x0
wiz8--demo--wiz8--8acda50afe39,005f964c,.rdata,vftable,2,code-reference-boundary,1,0x0,0,0,0,0x28
wiz8--demo--wiz8--8acda50afe39,005f9654,.rdata,vftable,1,code-reference-boundary,1,0x10,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9658,.rdata,vftable,1,code-reference-boundary,13,0x0 0x10 0x60 0x9c 0xb0 0xc0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f965c,.rdata,vftable,2,code-reference-boundary,19,0x0 0x4 0x4c 0x74 0x78 0x7c 0xb8,1,0,0,0x28|0x60|0xa4
wiz8--demo--wiz8--8acda50afe39,005f9664,.rdata,vftable,18,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f96ac,.rdata,vftable,18,code-reference-boundary,1,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f96f4,.rdata,vftable,20,code-reference-boundary,2,0x0,0,0,0,0xc0
wiz8--demo--wiz8--8acda50afe39,005f9744,.rdata,vftable,3,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9750,.rdata,vftable,20,code-reference-boundary,1,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f97d8,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f97dc,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9810,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,0x10
wiz8--demo--wiz8--8acda50afe39,005f9840,.rdata,vftable,1,code-reference-boundary,4,0x0 0x4,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9844,.rdata,vftable,1,code-reference-boundary,5,0x0 0x4,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9890,.rdata,vftable,1,code-reference-boundary,1,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f9894,.rdata,vftable,1,code-reference-boundary,1,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005fa744,.rdata,vftable,1,code-reference-boundary,1,0x40,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005fa748,.rdata,vftable,1,code-reference-boundary,4,0x0 0x10 0x20 0x30,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005fa74c,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005fa778,.rdata,vftable,1,code-reference-boundary,5,0x0 0xc,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005fa7e8,.rdata,vftable,1,code-reference-boundary,5,0x0 0x24,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005fa8a8,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,0x10
wiz8--demo--wiz8--8acda50afe39,005fa8d0,.rdata,vftable,1,code-reference-boundary,1,0x8,0,0,0,
